,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,masc,femn,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
na-dne. Text/chapter1.xhtml,1.0,83.0,65.0,33.0,7.0,62.0,18.0,51.0,528.0,384.0,69.0,154.0,47.0,37.62457831325301,-12.575843373493967,21.20342771084338,23.441494180577696,21.20342771084338,122.75903614457832,79.0,42.0,16.0,2.0,19.0,44.0,1.0,1.0,4.0,0.7831325301204819,7.134676899329873,5.044978417091164,0.9446793040080134,0.9126943096352463,0.028826703932351337,34.690056912047105,0.7876470588235298,0.8,107.16222222222223,1.0,0.8369835040308862,52.353846153846156,1782.0010857777838,maksim-gorkii,,,,,
na-dne. Text/chapter2.xhtml,880.0,5266.0,1762.0,1683.0,337.0,4232.0,1510.0,3059.0,28990.0,21999.0,4352.0,9263.0,2053.0,-0.8169485118944859,93.33857205745261,-3.209973703949867,5.521199594238909,-3.209973703949867,37.943832648551606,4353.0,1009.0,710.0,209.0,410.0,2592.0,436.0,4.0,330.0,0.3345993163691606,24.280938932472548,17.169216572727787,0.872235013627821,0.8959789008583477,0.034331759683356916,29.12754863785127,0.7861146252635886,0.7879999999999999,83.85321331921037,87.24656485029797,0.8543217485781203,71.30528151264826,1248.9998602104436,maksim-gorkii,316.0,267.0,115.0,204.0,21.0
na-dne. Text/chapter3.xhtml,742.0,4356.0,1454.0,1276.0,284.0,3434.0,1242.0,2476.0,23295.0,17517.0,3559.0,7472.0,1667.0,-1.1914494862865368,96.11155036025535,-4.219640967380247,5.51973343294655,-4.219640967380247,35.16354923902094,3578.0,772.0,528.0,165.0,269.0,2112.0,381.0,3.0,296.0,0.3337924701561065,22.03030303030303,15.577776664321819,0.8690541472364042,0.8913476401617131,0.035983152208028314,27.7907837039604,0.7798328302763209,0.7763218390804597,74.53413772192133,77.12724706021262,0.838517942596255,57.868987480781904,1140.3521044301197,maksim-gorkii,254.0,228.0,106.0,150.0,12.0
na-dne. Text/chapter4.xhtml,864.0,5353.0,1786.0,1752.0,386.0,4213.0,1486.0,3113.0,29470.0,22110.0,4639.0,9511.0,2078.0,-0.5838020195494416,91.99739982685377,-3.4458661670117436,5.959431805111153,-3.4458661670117436,38.924912518767606,4406.0,969.0,688.0,205.0,452.0,2502.0,433.0,2.0,442.0,0.3336446852232393,24.410846110053324,17.26107481891996,0.8721460759332861,0.89605241999887,0.03429008705448051,29.162947250941293,0.7890120663650343,0.7885981308411213,78.86661566749335,95.79795683496232,0.8517045529278044,64.03270334543244,1193.4184008392133,maksim-gorkii,296.0,209.0,104.0,234.0,14.0
na-dne. Text/chapter5.xhtml,603.0,3326.0,1292.0,1049.0,237.0,2657.0,994.0,1900.0,18579.0,13942.0,2882.0,5888.0,1377.0,-0.9641293332894563,93.26981071292165,-3.252025073071202,5.592739412872031,-3.252025073071202,37.055141211162066,2784.0,724.0,441.0,142.0,318.0,1600.0,286.0,2.0,251.0,0.38845460012026456,22.40275303071883,15.841138585268766,0.8833989785489943,0.9015268837226609,0.03310721059228343,30.20490044646281,0.783655782728121,0.7845454545454548,81.30071447140837,79.82819701141531,0.8598784847319028,73.17411269618611,1233.1500109456595,maksim-gorkii,159.0,132.0,61.0,126.0,7.0
na-dne. Text/annotation.xhtml,6.0,135.0,109.0,68.0,40.0,67.0,19.0,88.0,981.0,749.0,124.0,327.0,56.0,12.117222222222221,32.009444444444455,10.002657407407405,22.87776087720096,10.002657407407405,72.87037037037038,128.0,37.0,28.0,14.0,24.0,66.0,7.0,1.0,7.0,0.8074074074074075,9.381226327480189,6.633528752007012,0.9563883970069077,0.9410386972338358,0.020471723087740413,48.847866675123925,0.8923255813953486,0.8899999999999999,142.71008708272862,11.375,0.9192205447819712,210.34883720930233,1365.9198868585631,maksim-gorkii,,,,3.0,2.0
pesnya-o-burevestnike. Text/chapter1.xhtml,25.0,274.0,172.0,107.0,16.0,236.0,57.0,195.0,1659.0,1304.0,269.0,528.0,69.0,2.847553284671534,76.77386131386864,1.8263967883211691,7.122923016688363,1.8263967883211691,50.01109489051095,224.0,53.0,64.0,23.0,44.0,145.0,43.0,1.0,50.0,0.6277372262773723,10.390900005279043,7.347475856364144,0.9170456079481423,0.9028162583713392,0.0340290730795207,29.386636470031203,0.8318222222222241,0.852,147.63559021623539,114.56604938271605,0.8830403520388664,132.62765957446808,855.7001975614425,maksim-gorkii,,,4.0,,
pesnya-o-burevestnike. Text/annotation.xhtml,3.0,119.0,97.0,70.0,40.0,61.0,17.0,84.0,952.0,758.0,109.0,325.0,45.0,22.783641456582632,-8.87032212885154,19.961121848739495,32.333329031147535,19.961121848739495,98.49019607843137,118.0,44.0,23.0,13.0,19.0,69.0,2.0,1.0,1.0,0.8151260504201681,8.89197542117365,6.287576118455995,0.9572280325246291,0.9401367325332429,0.02060756430520572,48.52587065553341,0.9282857142857139,0.8600000000000001,131.84201704545455,13.212121212121213,0.9106913324313587,189.75675675675674,1677.733793792296,maksim-gorkii,,,,8.0,3.0
foma-gordeev. Text/chapter1.xhtml,168.0,3334.0,1698.0,1289.0,371.0,2827.0,1002.0,2196.0,20698.0,16087.0,3376.0,6942.0,1233.0,8.334106678664266,55.89695832262119,4.731934216728085,13.188363038572705,4.731934216728085,58.5075056417288,2893.0,751.0,641.0,231.0,326.0,1698.0,123.0,13.0,322.0,0.5092981403719257,29.407282131328113,20.794088611328096,0.916823510862833,0.9310409967642147,0.02360979319343916,42.35530535175913,0.8949832572298619,0.8939393939393938,314.1083804747733,347.41270331063083,0.9206170112002775,189.84866397867833,1643.4053794355477,maksim-gorkii,44.0,75.0,62.0,400.0,23.0
foma-gordeev. Text/chapter2.xhtml,310.0,5839.0,2628.0,2297.0,609.0,4955.0,1695.0,3869.0,36646.0,28198.0,5960.0,12020.0,2478.0,7.666960311365731,58.62871340651573,4.474468142744286,12.441866999848552,4.474468142744286,58.174411769580516,5100.0,1567.0,807.0,409.0,762.0,2863.0,270.0,22.0,545.0,0.45007706799109437,34.3918963519111,24.31874312830122,0.9079442496626882,0.927175883573642,0.024441709353052753,40.913668743675686,0.8845595854922491,0.8834482758620691,282.6223027606116,323.3094752415607,0.9238746613684411,196.6975684065966,1479.5123337758416,maksim-gorkii,85.0,109.0,62.0,615.0,29.0
