,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,masc,,femn,neut,sing,plur,past,pres,futr,pssv,actv,3per,1per,2per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author
0 anton-chekhov antreprener-pod-divanom,61.0,466.0,314.0,208.0,54.0,388.0,123.0,319.0,3075.0,2373.0,502.0,1018.0,200.0,3.1004889889537743,65.61243615000353,3.095965665236058,8.368421193203732,2.9804755505523133,52.27453739534229,79.0,395.0,95.0,30.0,229.0,52.0,38.0,30.0,8.0,1.0,2.0,21.0,34.0,16.0,0.6738197424892703,14.545769114819295,10.28541197866257,0.935745325462717,0.932334484993762,0.024079978137865322,41.528276906012564,0.8813429256594713,0.8844444444444446,258.75103690967023,269.2121848739496,0.920588784375736,204.4245283018868,1373.5625866240332,anton-chekhov
1 anton-chekhov anyuta,54.0,499.0,321.0,207.0,60.0,394.0,134.0,320.0,3096.0,2408.0,506.0,1022.0,138.0,2.889065167371779,71.73145587471238,2.4235070140280577,9.369394353235146,1.7606049320863946,50.723706672604465,92.0,457.0,82.0,48.0,218.0,65.0,59.0,12.0,11.0,11.0,,30.0,4.0,8.0,0.6432865731462926,14.369933541250631,10.16107745221834,0.9289887422730385,0.9257883179581377,0.02631898127078673,37.99539160392844,0.8499999999999992,0.8555555555555556,156.95553718454806,116.05844296139813,0.8998461459499808,150.97326852976914,1419.8201231887017,anton-chekhov
2 anton-chekhov anyuta,50.0,470.0,312.0,202.0,57.0,387.0,140.0,304.0,3009.0,2346.0,507.0,982.0,148.0,3.268340425531914,69.04436170212766,3.3997872340425523,9.489769064971876,2.8434234042553186,52.37872340425532,97.0,421.0,68.0,32.0,209.0,42.0,45.0,31.0,4.0,2.0,2.0,23.0,11.0,15.0,0.6638297872340425,14.391486845250606,10.176317939633698,0.9334069059676049,0.9298844445502946,0.024921652414272133,40.12575022622978,0.8881710213776713,0.8866666666666667,245.04215782301821,233.67915392456678,0.9231463785907578,216.53241650294694,1344.6685994773293,anton-chekhov
3 anton-chekhov aptekarsha,56.0,487.0,331.0,232.0,72.0,377.0,117.0,332.0,3152.0,2477.0,507.0,1049.0,154.0,3.395479979466117,66.07399603989441,3.61969199178645,10.07492607739044,3.2392250110002934,56.33503226752713,82.0,410.0,98.0,27.0,235.0,39.0,19.0,57.0,5.0,3.0,2.0,69.0,6.0,2.0,0.6796714579055442,14.999041721614589,10.605924112653623,0.9376003124583547,0.9348269451330103,0.02321823818168031,43.06959004275448,0.8788584474885828,0.8822222222222222,277.97450799723094,290.41367472190257,0.91539305442603,181.22664624808576,1533.7449761414553,anton-chekhov
4 anton-chekhov aptekarsha,65.0,459.0,304.0,197.0,67.0,345.0,135.0,277.0,2977.0,2235.0,501.0,956.0,168.0,2.0745111446287936,72.4794008714597,1.494618736383444,9.026141024533189,1.4224608848667657,49.98092843975197,76.0,374.0,63.0,27.0,185.0,69.0,6.0,60.0,6.0,1.0,,54.0,9.0,22.0,0.6623093681917211,14.189504851483832,10.033495102163634,0.9327754718050756,0.928917021037206,0.025255168615050696,39.595855218486044,0.884682926829266,0.8755555555555556,232.9599683877304,209.30902953586497,0.9087226557449519,178.45670628183362,1651.4103191904637,anton-chekhov
5 anton-chekhov ariadna,23.0,504.0,328.0,225.0,80.0,400.0,158.0,322.0,3280.0,2623.0,521.0,1120.0,135.0,10.369613526570046,44.792487922705334,6.696785714285721,16.538836803438706,7.685934092477574,66.55590062111801,90.0,422.0,65.0,29.0,174.0,128.0,29.0,42.0,4.0,6.0,1.0,25.0,53.0,4.0,0.6507936507936508,14.610281224545867,10.331028928918878,0.9309670719680284,0.9280478217026674,0.025544755767439534,39.14697831147964,0.8716483516483507,0.8859999999999999,208.8021564112176,220.25199879426413,0.8952027745633827,136.29677419354837,1611.631301734786,anton-chekhov
6 anton-chekhov ariadna,22.0,497.0,340.0,220.0,71.0,402.0,155.0,318.0,3128.0,2492.0,504.0,1075.0,132.0,10.269283885128957,47.471848362904694,5.698169014084513,15.932789427553336,6.684919014084507,66.8565026522773,107.0,426.0,78.0,26.0,220.0,75.0,31.0,31.0,6.0,4.0,1.0,44.0,23.0,4.0,0.6841046277665996,15.251084336552724,10.78414515482437,0.9388517510593131,0.9363871314606623,0.022678103382844195,44.09539824024667,0.8904464285714286,0.8933333333333332,269.84702093493945,229.8574494949495,0.9083830128163592,159.2454780361757,1763.002254171794,anton-chekhov
7 anton-chekhov ariadna,25.0,551.0,349.0,218.0,74.0,441.0,160.0,355.0,3326.0,2636.0,559.0,1153.0,130.0,9.48528058076225,52.42020508166968,4.394137931034482,15.260896094576415,5.090241778584392,61.60442831215971,77.0,474.0,134.0,43.0,255.0,79.0,62.0,15.0,2.0,1.0,,47.0,25.0,5.0,0.6333938294010889,14.867899867196444,10.513192818097176,0.9276485941253011,0.925521700370662,0.026394529184378377,37.886639046088796,0.8639840637450171,0.8581818181818182,199.81727906701133,230.77559473721976,0.8918861541825865,130.17611683848799,1621.460861015717,anton-chekhov
8 anton-chekhov ariadna,22.0,492.0,292.0,178.0,69.0,404.0,184.0,289.0,2930.0,2300.0,501.0,1017.0,121.0,9.45781596452328,53.53117516629713,3.8163414634146378,15.707490220338636,4.497227642276421,58.542498152254254,78.0,422.0,109.0,41.0,244.0,37.0,58.0,16.0,1.0,4.0,1.0,43.0,24.0,3.0,0.5934959349593496,13.164376666144511,9.308620010724738,0.9158301676771315,0.9112118822499833,0.031267059233546994,31.982540875704803,0.8315124153498847,0.8200000000000001,138.63133229654363,121.08609545665814,0.8735563229485926,100.73894912427022,1310.0896833467818,anton-chekhov
9 anton-chekhov ariadna,25.0,502.0,323.0,196.0,56.0,417.0,163.0,310.0,3039.0,2375.0,513.0,1019.0,136.0,8.06732749003984,58.73518326693227,3.947888446215142,13.28222732573772,4.208973864541832,59.12382470119522,132.0,437.0,69.0,42.0,231.0,64.0,61.0,14.0,2.0,1.0,,39.0,21.0,5.0,0.6434262948207171,14.416195518481693,10.19378961002952,0.9290921126970726,0.9259723437718685,0.026255337396982565,38.08749378764131,0.8385871964679902,0.8400000000000001,165.73930827303107,159.3482009644589,0.8959211748375258,136.38937093275487,1504.012587306623,anton-chekhov
