,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,femn,masc,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
vishnevyi-sad. Text/chapter1.xhtml,1.0,67.0,60.0,39.0,18.0,42.0,9.0,51.0,512.0,418.0,50.0,175.0,37.0,35.307164179104475,-37.24261194029852,26.808425373134327,37.55983870933065,26.808425373134327,125.2089552238806,64.0,22.0,34.0,2.0,7.0,54.0,2.0,1.0,3.0,0.8955223880597015,7.330166661378313,5.183210553488161,0.9737559752501364,0.9558353939250656,0.014371823493236869,69.58059291992994,0.9244444444444446,0.92,179.56000000000006,10.0,0.9315311554117534,276.375,1826.074802700827,anton-chekhov,,,,,
vishnevyi-sad. Text/chapter2.xhtml,667.0,4348.0,1612.0,1653.0,415.0,3600.0,1203.0,2812.0,26011.0,20263.0,3874.0,8685.0,1707.0,1.1857146472761784,78.31268409953256,-0.037992793391712354,7.023809431795831,-0.037992793391712354,44.53621993051312,3606.0,834.0,807.0,219.0,415.0,2277.0,374.0,1.0,356.0,0.37074517019319225,24.446701502481393,17.28642841004795,0.8815584923215519,0.9023905611831544,0.03255417319747818,30.718027883364137,0.8563014654571279,0.8551162790697677,157.6279761029282,162.76413737464813,0.9139387872481674,185.4797354320818,1117.1281392548156,anton-chekhov,245.0,141.0,90.0,233.0,17.0
vishnevyi-sad. Text/chapter3.xhtml,412.0,3144.0,1376.0,1260.0,361.0,2596.0,915.0,2042.0,19247.0,15106.0,2839.0,6486.0,1203.0,2.208956125398352,72.9296879863633,1.1779827564910192,8.325875280022377,1.1779827564910192,47.70740383902765,2586.0,489.0,542.0,152.0,477.0,1408.0,282.0,7.0,218.0,0.43765903307888043,24.540147300220905,17.35250456730295,0.8973935967846168,0.9135327754884367,0.029337216732071864,34.086396440831614,0.8574216478190939,0.8548387096774193,181.54714044964396,177.44066435797345,0.9177547299839537,200.91887275832622,1256.5368071586165,anton-chekhov,219.0,121.0,54.0,129.0,8.0
vishnevyi-sad. Text/chapter4.xhtml,460.0,3303.0,1294.0,1340.0,396.0,2664.0,970.0,2090.0,20261.0,15703.0,3020.0,6687.0,1295.0,1.7074321170477411,75.82659282075583,0.7351715992707533,8.253092735961397,0.7351715992707533,47.74961431636589,2666.0,533.0,636.0,147.0,361.0,1653.0,340.0,1.0,282.0,0.39176506206478956,22.515416725253782,15.920803847667958,0.8843464418480735,0.9023118826217489,0.03286631514572239,30.4262889090611,0.8513460356484643,0.8575757575757578,144.13241057308352,146.67958977307038,0.9225293232554841,219.49979874416357,1063.8943211113763,anton-chekhov,212.0,143.0,55.0,145.0,20.0
vishnevyi-sad. Text/chapter5.xhtml,426.0,2697.0,1158.0,1074.0,267.0,2172.0,689.0,1750.0,16193.0,12601.0,2369.0,5373.0,1092.0,1.0553421642200256,78.87268271475348,-0.016008654634521946,7.049383272630746,-0.016008654634521946,46.15301038712811,2257.0,432.0,487.0,126.0,331.0,1265.0,226.0,3.0,194.0,0.42936596218020023,22.298111673517823,15.76714597199937,0.8929801433532443,0.9081851334201653,0.031193112881809874,32.05835864438992,0.8463444108761339,0.8467924528301886,144.9249841180233,151.24625721500723,0.9077136904792598,166.63103859198827,1196.6747397567615,anton-chekhov,165.0,81.0,71.0,119.0,7.0
vishnevyi-sad. Text/annotation.xhtml,8.0,175.0,138.0,82.0,32.0,121.0,39.0,114.0,1159.0,903.0,164.0,388.0,48.0,10.313892857142857,45.147214285714284,7.397537500000006,17.732307541720903,7.397537500000006,68.73214285714286,160.0,48.0,44.0,16.0,14.0,103.0,8.0,1.0,15.0,0.7885714285714286,10.431819455054672,7.376410276782913,0.9540092677672248,0.9417181561560211,0.020503768208350776,48.77152286537847,0.9036507936507928,0.8466666666666667,168.9295594807406,12.666666666666668,0.9216568775826282,211.45833333333334,1473.9964319938506,anton-chekhov,,,,8.0,3.0
tolstyi-i-tonkii. Text/chapter1.xhtml,65.0,515.0,327.0,233.0,80.0,423.0,154.0,349.0,3496.0,2723.0,523.0,1140.0,243.0,3.4515309932785634,63.4981067961165,4.281413368185213,9.858379463107436,4.281413368185213,53.16579536967886,468.0,68.0,166.0,41.0,53.0,282.0,18.0,,16.0,0.6349514563106796,14.40934163012288,10.188943179093508,0.9272590343928503,0.9242971509693413,0.02682379662837192,37.28033036689092,0.8935622317596548,0.8800000000000001,192.80922358103186,164.72219880470288,0.9198406741222029,202.99846625766872,1182.3479518619597,anton-chekhov,15.0,16.0,1.0,73.0,9.0
tolstyi-i-tonkii. Text/annotation.xhtml,12.0,148.0,106.0,77.0,25.0,103.0,31.0,97.0,1008.0,779.0,137.0,321.0,50.0,5.28644144144144,60.44963963963963,5.369094594594593,12.811106273882894,5.369094594594593,64.36036036036036,144.0,11.0,63.0,12.0,13.0,79.0,,1.0,4.0,0.7162162162162162,8.713146327183937,6.161124853422422,0.9332081245768983,0.910786304461246,0.030775954323530304,32.49289979727557,0.848484848484849,0.8,111.32201500535908,52.11594202898551,0.8659690616278927,112.14432989690722,1150.2387091593278,anton-chekhov,,,,23.0,4.0
chaika. Text/chapter1.xhtml,3.0,78.0,72.0,46.0,20.0,55.0,11.0,64.0,589.0,491.0,64.0,210.0,31.0,15.803846153846155,11.227307692307676,15.658897435897437,22.87776087720096,15.658897435897437,84.97435897435898,72.0,26.0,35.0,5.0,4.0,65.0,4.0,2.0,6.0,0.9230769230769231,8.152394645841088,5.764613536983137,0.981627712372425,0.9709211138192132,0.00971002591596129,102.98633687024514,0.9317241379310349,0.92,283.9200000000002,1.0,0.9558073505441913,429.0,2724.6162278742927,anton-chekhov,,,,,
chaika. Text/chapter2.xhtml,585.0,4021.0,1678.0,1512.0,471.0,3316.0,1250.0,2537.0,24581.0,19139.0,3747.0,8138.0,1494.0,1.5523020977475106,76.26457749592417,0.6841233951243133,7.983073255810215,0.6841233951243133,44.47609069479251,3294.0,712.0,664.0,207.0,548.0,1848.0,361.0,4.0,338.0,0.4173091270828152,26.462137389957068,18.711556793128732,0.8946984078300244,0.9132163026750006,0.02921526973755882,34.228675928136695,0.8553625377643914,0.8525,176.98332957485042,182.33234021148974,0.9172780928615553,195.78522807102541,1270.603482072833,anton-chekhov,261.0,128.0,68.0,150.0,11.0
