,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,neut,femn,masc,sing,plur,past,pres,futr,actv,pssv,1per,3per,2per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author
kreicerova-sonata. Text/chapter1.xhtml,106.0,1613.0,765.0,645.0,221.0,1238.0,468.0,991.0,9746.0,7671.0,1536.0,3268.0,386.0,5.656401349881271,65.28801442290822,2.9992621536104096,12.815920877439929,2.9992621536104096,55.20458187603083,1477.0,126.0,190.0,372.0,712.0,148.0,194.0,70.0,16.0,6.0,6.0,32.0,90.0,14.0,0.47427154370737756,19.047774960245192,13.468810840904698,0.8989994197814197,0.9086488111317781,0.03148756019246531,31.75857366806371,0.8416240409207093,0.844375,139.84949258561127,149.6732561697357,0.8861027326842462,126.17216614906832,1174.0862636615097,lev-tolstoi
kreicerova-sonata. Text/chapter2.xhtml,106.0,1331.0,559.0,481.0,177.0,1009.0,448.0,738.0,7847.0,6083.0,1227.0,2571.0,337.0,3.6636374268176866,74.42043087195046,1.0918794246062689,11.474643175964545,1.0918794246062689,48.69484569695079,1154.0,105.0,133.0,255.0,535.0,161.0,109.0,115.0,8.0,2.0,7.0,54.0,87.0,36.0,0.41998497370398197,15.32225832899726,10.834472767526021,0.8794030810990356,0.8871882333121468,0.03860116701403608,25.905952523051493,0.7895943837753508,0.7876923076923078,91.09243100787897,80.94259523510019,0.8596363846362962,93.00357255437638,1064.887520128258,lev-tolstoi
kreicerova-sonata. Text/chapter3.xhtml,28.0,433.0,239.0,147.0,36.0,366.0,171.0,231.0,2493.0,1933.0,418.0,810.0,114.0,4.643389145496535,74.30417683932697,1.2436443830419037,10.07492607739044,1.2436443830419037,49.413477400197955,359.0,32.0,34.0,93.0,191.0,52.0,51.0,16.0,2.0,,,43.0,18.0,13.0,0.5519630484988453,11.485607018839884,8.121550609065489,0.9021084087804071,0.8937327096927693,0.03712954319076934,26.932731029360117,0.7698437500000007,0.7725000000000001,91.147842239021,63.6438406008034,0.8546760219817205,101.6608695652174,1050.201012047424,lev-tolstoi
kreicerova-sonata. Text/chapter4.xhtml,54.0,783.0,406.0,321.0,114.0,634.0,287.0,461.0,4811.0,3811.0,776.0,1646.0,197.0,5.860849297573434,61.644514687100894,3.495781289910603,12.895898610494758,3.495781289910603,55.49616858237548,706.0,105.0,68.0,151.0,354.0,78.0,85.0,26.0,7.0,2.0,12.0,47.0,29.0,1.0,0.5185185185185185,14.509256304804824,10.25959352310116,0.9014308184520693,0.9023375215352849,0.03406264566777317,29.357672617488564,0.790136239782015,0.7866666666666666,88.3624964928745,82.59822838415867,0.8809081229992605,125.93706293706293,1048.9886387460047,lev-tolstoi
kreicerova-sonata. Text/chapter5.xhtml,52.0,866.0,494.0,310.0,107.0,711.0,290.0,528.0,5149.0,4062.0,859.0,1757.0,212.0,6.381123645407708,63.250011547344116,2.99412901936401,12.732333260211899,2.99412901936401,52.45061289749511,738.0,65.0,150.0,135.0,368.0,127.0,65.0,51.0,7.0,4.0,8.0,48.0,67.0,13.0,0.5704387990762124,16.786803350955445,11.870062483905654,0.9170078440181769,0.9195971888972755,0.02825247676187873,35.39512689200075,0.845287637698898,0.8411764705882353,166.79353534269126,149.8269814709381,0.8960215143342724,135.3614022406939,1250.9774471177323,lev-tolstoi
kreicerova-sonata. Text/chapter6.xhtml,22.0,416.0,266.0,166.0,56.0,340.0,132.0,264.0,2607.0,2074.0,409.0,878.0,106.0,8.082666083916084,55.40750874125874,5.4737115384615365,14.155601724137826,5.4737115384615365,58.81293706293707,360.0,32.0,67.0,52.0,133.0,104.0,9.0,35.0,8.0,1.0,6.0,15.0,37.0,4.0,0.6394230769230769,13.041722986689239,9.221890762244435,0.925847738328133,0.9199800263040661,0.02831218758215175,35.32047804848569,0.853514986376022,0.855,153.74830231942852,167.645301542777,0.9074435293788463,179.45945945945945,1201.1703895632988,lev-tolstoi
kreicerova-sonata. Text/chapter7.xhtml,19.0,325.0,211.0,121.0,44.0,261.0,114.0,191.0,1946.0,1535.0,320.0,670.0,77.0,6.840809716599193,60.699696356275325,3.324487854251011,13.504218669250177,3.324487854251011,54.336032388663966,292.0,26.0,66.0,51.0,152.0,39.0,16.0,17.0,1.0,5.0,2.0,13.0,20.0,,0.6492307692307693,11.704174140352334,8.276100902831367,0.925314642950589,0.9157234752975459,0.0297328125221174,33.63287611140481,0.844057971014494,0.8566666666666666,177.29016663990575,118.40955215419501,0.8847897062977663,123.59154929577464,1261.9223551584348,lev-tolstoi
kreicerova-sonata. Text/chapter8.xhtml,43.0,369.0,219.0,126.0,37.0,312.0,145.0,204.0,2144.0,1627.0,358.0,709.0,133.0,1.641170983802862,80.20249227957396,-1.031238387848994,8.25116554393763,-1.031238387848994,42.72773681225185,324.0,29.0,45.0,39.0,115.0,58.0,17.0,24.0,2.0,1.0,1.0,19.0,22.0,4.0,0.5934959349593496,11.400684617868244,8.061501403463799,0.9117335706769667,0.9019807498468214,0.03438469915488358,29.082703195847863,0.7876875000000012,0.78,88.42962669075001,81.33182482479157,0.8636448428635434,107.260663507109,1147.303620793539,lev-tolstoi
kreicerova-sonata. Text/chapter9.xhtml,37.0,546.0,322.0,232.0,87.0,416.0,169.0,334.0,3451.0,2743.0,526.0,1156.0,136.0,6.096488466488466,60.406527571527576,4.548317889317893,13.607128373285022,4.548317889317893,57.24759924759925,465.0,60.0,75.0,74.0,194.0,115.0,25.0,36.0,7.0,1.0,7.0,19.0,47.0,15.0,0.5897435897435898,13.780327858851395,9.74416327596772,0.9162146034477541,0.9130978179995839,0.030609974338325713,32.66908978580664,0.8387525150905418,0.8200000000000001,122.44315332938062,132.48446028609072,0.8980340711550638,159.81203007518798,1315.4866133595901,lev-tolstoi
kreicerova-sonata. Text/chapter10.xhtml,26.0,424.0,260.0,177.0,66.0,344.0,139.0,271.0,2664.0,2130.0,420.0,909.0,105.0,7.051005079825835,56.78853773584905,4.9819492017416565,14.136212571709423,4.9819492017416565,58.05297532656023,383.0,55.0,46.0,58.0,170.0,52.0,33.0,20.0,4.0,2.0,2.0,19.0,19.0,3.0,0.6132075471698113,12.626716210644434,8.928436656664786,0.9191614262288719,0.9127379826924591,0.030767916682894938,32.50138806297335,0.8379200000000007,0.8475,137.54220314735335,118.99250802526666,0.8982882142775651,160.70967741935485,1119.8608569083776,lev-tolstoi
